# data format:
# time voltage
# (msecs) (mvolts)
312 664
488 680
661 680
835 687
1008 683
1181 683
1355 683
1528 683
1701 729
1875 687
2048 683
2221 687
2395 687
2570 680
2745 677
2918 683
3091 683
3265 735
3438 687
3611 687
3785 741
3958 745
4131 722
4305 683
4478 683
4651 683
4825 687
4999 719
5171 738
5345 687
5518 683
5691 683
5865 722
6038 690
6211 741
6385 680
6558 683
6731 745
6905 687
7078 687
7251 690
7426 696
7598 719
7771 683
7945 687
8118 690
8291 693
8465 700
8638 683
8811 683
8985 687
9158 709
9328 741
9501 677
9675 683
9850 683
10025 741
10198 680
10371 683
10545 683
10718 683
10891 709
11065 677
11238 683
11411 683
11585 690
11758 722
11931 680
12105 683
12280 687
12455 674
12628 693
12801 683
12975 690
13148 741
13321 712
13495 683
13668 687
13841 687
14015 706
14188 758
14361 683
14535 690
14710 674
14885 683
15058 722
15231 687
15405 677
15578 683
15751 690
15925 722
16099 683
16271 683
16445 683
16618 706
16791 741
16965 677
17140 683
17315 754
17488 725
17661 683
17835 687
18008 687
18181 677
18362 751
18535 758
18708 683
18881 683
19055 719
19228 683
19401 683
19575 683
19748 690
19921 722
20095 680
20268 683
20441 687
20615 696
20788 683
20961 683
21135 687
21308 687
21481 703
21655 683
21828 687
22001 754
22175 683
22348 696
22521 687
22695 693
22868 683
23041 683
23215 716
23388 751
23561 683
23735 683
23908 683
24081 722
24255 683
24428 683
24601 687
24775 696
24948 722
25121 687
25295 687
25468 677
25641 683
25815 722
25988 751
26161 677
26336 683
26508 703
26681 687
26855 677
27028 683
27209 716
27381 683
27555 687
27728 758
27901 683
28075 719
28248 690
28421 690
28595 683
28768 687
28941 700
29117 683
29291 687
29465 748
29638 677
29811 722
29985 687
30158 738
