# data format:
# time voltage
# (msecs) (mvolts)
1510 0
1581 0
1651 0
1721 9
1791 19
1861 29
1931 41
2001 54
2073 64
2145 77
2215 90
2285 103
2355 116
2425 132
2495 145
2565 158
2635 174
2705 190
2775 203
2845 212
2915 212
2985 229
3055 241
3125 258
3195 270
3265 287
3335 303
3405 319
3475 335
3545 351
3615 348
3685 351
3755 367
3825 383
3895 400
3965 412
4035 432
4105 448
4177 458
4248 467
4318 483
4388 500
4458 519
4528 535
4598 545
4668 535
4738 541
4808 558
4878 574
4950 580
5021 590
5091 606
5161 625
5231 641
5309 667
5378 693
5448 703
5518 696
5588 690
5658 706
5730 716
5801 748
5871 741
5941 758
6011 777
6081 793
6151 812
6221 832
6291 854
6361 874
6431 893
6501 890
6571 883
6642 880
6711 900
6781 919
6851 938
6921 958
6991 980
7061 1000
7131 1022
7201 1029
7272 1029
7341 1022
7411 1019
7483 1051
7555 1077
7626 1074
7696 1074
7765 1090
7835 1116
7905 1135
7975 1158
8045 1177
8115 1203
8185 1216
8255 1216
8325 1209
8397 1238
8468 1267
8538 1267
8608 1264
8678 1261
8748 1264
8819 1287
8888 1309
8958 1332
9025 1338
9095 1348
9165 1348
9235 1358
9307 1374
9378 1403
9448 1400
9518 1406
9589 1429
9658 1454
9728 1477
9798 1503
9868 1525
9938 1538
10008 1538
10078 1541
10148 1538
10220 1567
10291 1590
10361 1593
10431 1590
10501 1593
10571 1600
10641 1629
10711 1651
10782 1677
10851 1703
10921 1725
10991 1725
11062 1732
11132 1732
11201 1732
11271 1732
11342 1745
11411 1770
11481 1800
11552 1819
11622 1848
11691 1858
11762 1864
11832 1864
11902 1874
11971 1870
12041 1877
12113 1900
12185 1922
12255 1929
12325 1929
12402 1961
12471 2009
12542 2012
12611 2019
12681 2019
12751 2025
12822 2029
12891 2035
12961 2045
13031 2074
13101 2100
13172 2132
13241 2145
13311 2151
13382 2154
13451 2161
13522 2164
13591 2170
13662 2174
13731 2193
13802 2219
13872 2248
13942 2277
14013 2280
14085 2274
14155 2303
14226 2325
14295 2335
14365 2335
14436 2348
14505 2351
14576 2361
14645 2361
14716 2374
14785 2390
14855 2422
14926 2448
14997 2451
15069 2441
15138 2474
15208 2506
15279 2519
15349 2522
15419 2532
15488 2535
15558 2545
15628 2551
15707 2558
15779 2577
15849 2587
15919 2593
15989 2625
16058 2654
16128 2664
16198 2670
16268 2683
16338 2690
16408 2703
16478 2709
16548 2719
16618 2729
16688 2748
16758 2777
16828 2796
16900 2806
16971 2800
17041 2832
17111 2848
17181 2854
17251 2867
17321 2874
17391 2887
17461 2893
17531 2909
17601 2916
17671 2929
17741 2945
17811 2974
17883 2980
17955 2983
18026 2996
18095 3022
18165 3032
18235 3045
18305 3054
18375 3067
18445 3077
18515 3093
18585 3100
18655 3116
18725 3125
18795 3151
18867 3151
18946 3170
19015 3187
19085 3200
19155 3209
19225 3225
19295 3232
19365 3248
19435 3258
19506 3277
19575 3274
19645 3274
19715 3261
19787 3254
19858 3235
19928 3232
19998 3216
20069 3206
20138 3190
20208 3180
20278 3161
20348 3151
20418 3135
20488 3122
20558 3106
20628 3093
20698 3093
20770 3070
20841 3051
20911 3038
20982 3045
21051 3032
21122 3012
21191 3000
21261 2983
21331 2970
21401 2951
21472 2938
21541 2919
21611 2906
21681 2906
21753 2880
21825 2867
21895 2854
21965 2854
22036 2858
22106 2838
22175 2825
22252 2800
22321 2780
22391 2761
22461 2745
22531 2751
22602 2758
22673 2722
22745 2693
22815 2696
22885 2706
22955 2687
23026 2674
23096 2651
23166 2635
23235 2616
23305 2600
23375 2577
23445 2561
23516 2554
23586 2564
23657 2532
23728 2506
23799 2500
23869 2509
23939 2512
24008 2496
24079 2477
24149 2461
24218 2438
24288 2419
24358 2396
24428 2377
24498 2364
24568 2370
24640 2335
24711 2325
24781 2316
24851 2319
24921 2322
24991 2325
25061 2303
25131 2283
25202 2261
25271 2241
25342 2219
25411 2200
25478 2225
25548 2209
25618 2187
25688 2167
25758 2141
25828 2122
25898 2096
25968 2096
26038 2100
26108 2103
26178 2103
26248 2087
26318 2064
26388 2041
26458 2019
26530 2016
26601 2012
26671 1990
26741 1967
26811 1941
26881 1919
26951 1909
27021 1909
27091 1912
27161 1912
27231 1916
27301 1893
27371 1870
27441 1841
27513 1841
27585 1841
27655 1819
27725 1793
27795 1770
27865 1741
27935 1719
28005 1719
28075 1722
28145 1722
28215 1722
28285 1719
28355 1696
28425 1670
28497 1674
28568 1670
28638 1645
28708 1619
28786 1580
28858 1583
28928 1561
28998 1532
29068 1516
29138 1512
29208 1516
29278 1512
29348 1516
29418 1512
29488 1493
29558 1467
29628 1438
29698 1409
29768 1383
29838 1380
29908 1380
29978 1374
30048 1374
30118 1370
30188 1370
30258 1348
30328 1319
30400 1316
30471 1316
30541 1293
30611 1267
30681 1238
30751 1209
30821 1196
30891 1193
30961 1190
31031 1187
31101 1180
31171 1177
31241 1174
31311 1148
31383 1148
31455 1125
31525 1122
31595 1096
31665 1067
31735 1038
31805 1012
31875 1009
31945 1003
32015 1000
32081 990
32151 977
32222 945
32291 925
32363 919
32435 919
32505 887
32575 877
32645 870
32715 864
32785 858
32855 851
32925 845
32995 838
33065 832
33135 806
33205 770
33275 748
33345 738
