# data format:
# time voltage
# (msecs) (mvolts)
813 0
896 809
975 1277
1055 1561
1135 1754
1215 1900
1295 2029
1375 2138
1455 2248
1535 2348
1615 2445
1695 2529
1775 2622
1855 2703
1935 2783
2017 2848
2098 2912
2178 2970
2258 3032
2338 3080
2418 3132
2498 3170
2578 3209
2658 3235
2738 3261
2818 3274
2898 3287
2978 3287
3058 3287
3140 3270
3221 3258
3301 3232
3381 3203
3461 3164
3541 3125
3621 3070
3701 3025
3781 2964
3861 2903
3941 2832
4021 2764
4101 2680
4181 2603
4261 2516
4341 2435
4421 2338
4501 2251
4581 2154
4658 2019
4738 1919
4818 1825
4898 1722
4978 1622
5058 1525
5138 1432
5218 1335
5300 1245
5381 1129
5461 1029
5541 929
5621 835
5701 751
5781 664
5861 580
5941 509
6021 432
6101 361
6181 303
6261 248
6341 193
6423 154
6505 109
6585 77
6665 45
6745 25
6825 9
6905 0
6985 0
7065 3
7145 9
7225 25
7305 48
7385 77
7465 109
7547 167
7628 212
7709 261
7788 319
7868 390
7948 454
8028 525
8108 606
8188 683
8268 767
8348 854
8428 941
8508 1029
8588 1122
8668 1219
8748 1312
8828 1406
8908 1512
8988 1625
9068 1729
9203 1906
9335 1996
9415 2080
9495 2164
9575 2267
9655 2358
9737 2467
9818 2516
9898 2593
9978 2677
10058 2758
10138 2835
10218 2909
10298 2967
10378 3032
10458 3080
10538 3132
10618 3170
10698 3209
10780 3235
10861 3264
10941 3274
11021 3287
11101 3287
11181 3287
11261 3270
11341 3258
11422 3232
11501 3206
11581 3164
11661 3125
11741 3074
11821 3029
11902 2967
11981 2903
12061 2835
12141 2767
12221 2683
12301 2609
12381 2522
12461 2441
12541 2345
12621 2258
12701 2161
12781 2070
12861 1970
12943 1832
13025 1703
13101 1651
13181 1541
13261 1438
13341 1325
13421 1222
13501 1125
13581 1025
13661 929
13741 835
13821 748
13901 661
13981 577
14063 529
14145 445
14225 374
14305 312
14385 254
14466 196
14545 151
14625 109
14705 77
14785 45
14866 25
14945 9
15025 0
15105 0
15187 3
15268 12
15348 29
15428 51
15509 83
15588 119
15668 164
15749 209
15829 258
15909 312
15989 380
16068 448
16148 522
16228 600
16308 677
16388 754
16468 841
16548 932
16628 1022
16708 1112
16788 1209
16868 1309
16948 1412
17028 1525
17108 1638
17196 1732
17275 1822
17357 1954
17438 2077
17518 2170
17598 2274
17678 2367
17758 2464
17838 2545
17918 2638
17998 2716
18078 2790
18158 2851
18238 2916
18318 2964
18398 3025
18480 3080
18561 3135
18641 3174
18721 3212
18801 3235
18881 3261
18961 3274
19041 3287
19121 3287
19201 3287
19281 3274
19361 3261
19441 3235
19521 3209
19601 3167
19681 3119
19761 3067
19841 3022
19921 2961
20002 2900
20082 2829
20161 2758
20241 2674
20321 2596
20401 2509
20481 2425
20561 2329
20643 2261
20725 2161
20805 2054
20892 1954
20971 1867
21051 1764
21131 1654
21211 1548
21291 1445
21371 1335
21451 1232
21531 1129
21611 1029
21691 929
21773 819
21856 777
21935 677
22016 600
22095 529
22175 448
22255 377
22335 312
22415 254
22495 200
22575 154
22655 109
22735 77
22815 45
22895 25
22975 9
23055 0
23135 0
23215 3
23295 9
23375 25
23455 48
23535 77
23616 109
23695 151
23775 196
23855 245
23937 322
24018 390
24099 448
24179 519
24258 606
24338 683
24418 767
24498 851
24578 941
24658 1029
24738 1122
24818 1219
24898 1312
24978 1409
25068 1541
25149 1667
25228 1748
25308 1854
25388 1958
25469 2077
25548 2164
25628 2267
25709 2370
25788 2458
25868 2541
25948 2632
26028 2712
26109 2777
26189 2835
26268 2929
26348 2980
26428 3035
26508 3080
26588 3132
26668 3170
26749 3206
26828 3235
26908 3261
26989 3270
27068 3287
27149 3283
27230 3287
27311 3274
27392 3261
27471 3235
27552 3203
27631 3174
27712 3119
27792 3067
27872 3022
27952 2961
28031 2893
28111 2822
28192 2758
28272 2674
28353 2606
28435 2529
28515 2448
28595 2351
28675 2267
28762 2151
28841 2048
28921 1948
29001 1861
29081 1761
29161 1664
29241 1561
29321 1454
29401 1345
29481 1238
29561 1135
29641 1035
29721 935
29801 838
29881 751
29961 667
30041 583
30121 509
30201 435
30281 364
30361 303
30441 248
30523 203
30605 154
30685 112
30765 77
30845 48
30925 25
31005 9
31085 0
31165 0
31245 3
31325 12
31405 29
31485 48
31565 77
31647 109
31728 164
31808 212
31888 264
31968 322
32048 390
32128 458
32208 529
32288 609
32368 690
32448 770
32528 858
32608 951
32688 1041
32770 1109
32851 1241
32928 1322
33008 1419
33088 1516
33168 1616
33248 1719
33328 1829
33408 1932
33488 2045
33568 2141
33648 2248
33728 2345
33808 2445
33888 2529
33968 2619
34048 2703
34128 2780
34208 2851
34288 2925
34368 2980
34448 3041
34528 3090
34608 3138
34688 3177
34768 3212
34848 3238
34930 3261
35011 3274
35091 3287
35171 3287
35251 3287
35331 3274
35411 3261
35491 3235
35571 3209
35651 3170
35731 3132
35811 3083
35891 3038
35971 2980
36053 2890
36135 2829
36215 2761
36295 2674
36375 2600
36455 2512
36535 2432
36622 2316
36701 2222
36781 2125
36861 2029
36941 1929
37021 1835
37101 1732
37181 1632
37261 1538
37341 1448
37421 1348
37502 1248
37581 1158
37661 1051
37741 951
37821 854
37901 764
37981 674
38061 590
38141 516
38223 429
38305 358
38385 300
38466 258
38545 196
38625 158
38705 112
38785 77
38865 48
38945 25
39025 9
39105 0
39185 0
39265 3
39347 12
39429 25
39509 48
39588 77
39668 109
39748 151
39828 196
39908 245
39988 309
40069 393
40148 464
40229 535
40308 619
40389 693
40470 767
40551 848
40631 935
40719 1038
40798 1141
40878 1241
40958 1338
41038 1432
41118 1525
41198 1629
41278 1716
41358 1819
41438 1925
41520 2061
41602 2180
41681 2274
41761 2367
41841 2464
41921 2548
42001 2635
42082 2687
42161 2783
42241 2848
42321 2912
42401 2964
42481 3025
42562 3077
42643 3132
42725 3174
42805 3212
42885 3238
42965 3264
43045 3274
43125 3287
43205 3287
43285 3287
43365 3274
43445 3261
43525 3235
43605 3212
43685 3167
43767 3122
43848 3074
43928 3032
44008 2970
44088 2909
44169 2845
44249 2777
44329 2696
44409 2622
44497 2525
